,Home_Team,Visiting_Team,V_Starter_Name,H_Starter_Name,Day_Night_D,Day_Night_N
0,Cleveland Indians,Texas Rangers,Cole Hamels,Trevor Bauer,0,1
1,Chicago Cubs,Colorado Rockies,Kyle Freeland,Jon Lester,0,1
2,Washington Nationals,Pittsburgh Pirates,Jameson Taillon,Tanner Roark,0,1
3,Boston Red Sox,Kansas City Royals,Jason Hammel,Eduardo Rodriguez,0,1
4,Cincinnati Reds,Milwaukee Brewers,Jhoulys Chacin,Brandon Finnegan,0,1
5,Miami Marlins,Philadelphia Phillies,Jake Arrieta,Dan Straily,0,1
6,Detroit Tigers,Tampa Bay Rays,Jake Faria,Jordan Zimmermann,0,1
7,Houston Astros,New York Yankees,Sonny Gray,Charlie Morton,0,1
8,Minnesota Twins,Toronto Blue Jays,Aaron Sanchez,Lance Lynn,0,1
9,Arizona Diamondbacks,Los Angeles Dodgers,Ross Stripling,Zack Greinke,0,1
10,San Francisco Giants,San Diego Padres,Eric Lauer,Jeff Samardzija,0,1
